FALL	GESCHLECHT	FILLER	GENRE	LAENGE
816	maennlich	aeh	dialog	493
817	weiblich	aehm	monolog	1550
818	weiblich	aehm	monolog	644
819	maennlich	stille	dialog	667
820	weiblich	stille	dialog	1115
821	weiblich	aehm	dialog	1322
822	maennlich	aeh	monolog	934
823	weiblich	aehm	monolog	922
824	maennlich	aeh	monolog	1180
825	weiblich	aeh	monolog	889
826	weiblich	aeh	dialog	1598
827	weiblich	stille	monolog	832
828	maennlich	aeh	dialog	1173
829	weiblich	aehm	dialog	313
830	maennlich	aehm	dialog	1278
831	weiblich	aeh	dialog	543
832	maennlich	aehm	monolog	954
833	maennlich	aehm	dialog	1160
834	maennlich	aeh	dialog	618
835	maennlich	aehm	dialog	334
836	weiblich	aeh	monolog	497
837	maennlich	aehm	monolog	402
838	maennlich	stille	dialog	1141
839	maennlich	aeh	monolog	1436
840	weiblich	aehm	dialog	979
841	maennlich	aeh	dialog	820
842	weiblich	aehm	dialog	541
843	weiblich	stille	dialog	1430
844	maennlich	stille	dialog	525
845	weiblich	stille	dialog	988
846	weiblich	stille	monolog	622
847	maennlich	aehm	dialog	307
848	weiblich	stille	dialog	1190
849	weiblich	aeh	monolog	1503
850	maennlich	aeh	monolog	251
851	weiblich	stille	monolog	1525
852	weiblich	stille	dialog	1221
853	maennlich	stille	monolog	1346
854	maennlich	stille	monolog	367
855	weiblich	aeh	dialog	1185
856	weiblich	aeh	monolog	1355
857	maennlich	aehm	monolog	784
858	maennlich	stille	monolog	1520
859	weiblich	aeh	dialog	1004
860	weiblich	aeh	monolog	526
861	maennlich	stille	dialog	902
862	maennlich	aeh	dialog	723
863	maennlich	aehm	dialog	366
864	weiblich	aeh	monolog	282
865	weiblich	aeh	dialog	1321
866	maennlich	stille	dialog	490
867	maennlich	aeh	dialog	433
868	maennlich	aeh	dialog	1414
869	weiblich	aeh	monolog	1039
870	weiblich	stille	monolog	399
871	weiblich	stille	monolog	1266
872	maennlich	aeh	monolog	1262
873	weiblich	aehm	dialog	1264
874	maennlich	aeh	dialog	253
875	maennlich	aeh	dialog	624
876	weiblich	aehm	dialog	880
877	weiblich	stille	dialog	307
878	weiblich	aehm	dialog	1368
879	maennlich	aeh	dialog	1057
880	maennlich	stille	dialog	810
881	maennlich	stille	monolog	1026
882	maennlich	aehm	dialog	1322
883	maennlich	aehm	monolog	1527
884	maennlich	aeh	dialog	1387
885	maennlich	stille	dialog	613
886	weiblich	stille	monolog	1099
887	maennlich	aeh	monolog	453
888	weiblich	aehm	dialog	1204
889	maennlich	aehm	monolog	785
890	maennlich	aehm	dialog	1040
891	weiblich	stille	dialog	1278
892	weiblich	aeh	dialog	1538
893	maennlich	aehm	dialog	1422
894	maennlich	aeh	dialog	503
895	maennlich	aeh	dialog	1494
896	weiblich	aeh	monolog	911
897	maennlich	aeh	monolog	842
898	weiblich	aehm	dialog	596
899	maennlich	stille	dialog	835
900	maennlich	aehm	dialog	1108
901	maennlich	aeh	monolog	883
902	maennlich	aeh	dialog	564
903	weiblich	aeh	monolog	1453
904	weiblich	aeh	monolog	709
905	weiblich	aehm	dialog	808
906	weiblich	aehm	dialog	722
907	maennlich	aeh	monolog	663
908	maennlich	aeh	monolog	1512
909	weiblich	stille	monolog	1171
910	maennlich	stille	monolog	1153
911	maennlich	aeh	monolog	416
912	weiblich	aehm	monolog	1206
913	weiblich	aehm	dialog	301
914	maennlich	aeh	monolog	943
915	maennlich	aehm	monolog	299
916	maennlich	aehm	monolog	367
917	maennlich	aeh	dialog	495
918	maennlich	aeh	dialog	706
919	maennlich	stille	monolog	934
920	weiblich	stille	dialog	1196
921	weiblich	aeh	dialog	1172
922	maennlich	stille	dialog	1010
923	maennlich	aeh	dialog	784
924	maennlich	aeh	dialog	400
925	weiblich	stille	dialog	1482
926	weiblich	stille	monolog	782
927	weiblich	stille	dialog	1080
928	maennlich	aehm	dialog	915
929	weiblich	aehm	dialog	435
930	maennlich	aehm	dialog	490
931	maennlich	aeh	dialog	512
932	weiblich	stille	monolog	297
933	weiblich	aeh	dialog	819
934	maennlich	aeh	monolog	666
935	weiblich	aehm	dialog	1186
936	weiblich	aeh	monolog	740
937	weiblich	aehm	dialog	935
938	weiblich	stille	monolog	543
939	maennlich	aeh	dialog	697
940	weiblich	stille	dialog	1251
941	maennlich	aehm	monolog	677
942	weiblich	aeh	monolog	920
943	weiblich	stille	monolog	1299
944	maennlich	aehm	dialog	727
945	weiblich	stille	dialog	568
946	maennlich	aeh	dialog	1137
947	weiblich	aeh	dialog	1564
948	maennlich	aeh	dialog	842
949	maennlich	aeh	dialog	1392
950	weiblich	aeh	dialog	1029
951	weiblich	aehm	dialog	1500
952	maennlich	aehm	dialog	998
953	maennlich	aeh	dialog	576
954	weiblich	aeh	monolog	467
955	maennlich	stille	dialog	1399
956	maennlich	aeh	dialog	1281
957	weiblich	aehm	dialog	1070
958	weiblich	aehm	dialog	579
959	maennlich	aeh	monolog	1044
960	maennlich	stille	monolog	269
961	weiblich	aehm	dialog	514
962	weiblich	stille	dialog	615
963	maennlich	aehm	dialog	1182
964	weiblich	aeh	dialog	924
965	weiblich	aeh	monolog	762
966	maennlich	aeh	dialog	1299
967	maennlich	aeh	monolog	371
968	maennlich	stille	monolog	622
969	weiblich	aehm	dialog	1481
970	weiblich	aehm	monolog	547
971	maennlich	stille	dialog	1273
972	maennlich	aehm	monolog	1499
973	weiblich	aehm	monolog	354
974	maennlich	aeh	monolog	472
975	maennlich	aehm	monolog	583
976	weiblich	aeh	monolog	973
977	weiblich	stille	monolog	1419
978	maennlich	stille	monolog	763
979	weiblich	stille	dialog	980
980	maennlich	aeh	dialog	1315
981	maennlich	aeh	dialog	1383
982	maennlich	aeh	monolog	1415
983	weiblich	aeh	monolog	390
984	maennlich	aehm	dialog	829
985	maennlich	aehm	monolog	1388
986	weiblich	aehm	dialog	686
987	maennlich	stille	dialog	986
988	weiblich	aehm	dialog	1470
989	maennlich	aehm	monolog	554
990	weiblich	stille	dialog	479
991	maennlich	stille	dialog	1327
992	weiblich	aehm	monolog	846
993	maennlich	aeh	dialog	1202
994	weiblich	aehm	monolog	945
995	maennlich	aeh	dialog	550
996	maennlich	stille	dialog	751
997	weiblich	aehm	dialog	1005
998	weiblich	aehm	monolog	568
999	weiblich	aeh	dialog	984
1000	weiblich	aeh	dialog	1521
